Location,Link,Price (€),Area (m²),Hab
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108837259/,1435 ,74 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108837333/,1490 ,90 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/102589855/,1500 ,86 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108837511/,1565 ,81 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/102589604/,1650 ,86 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108839382/,1735 ,96 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108839880/,1740 ,109 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108840434/,1760 ,111 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108839938/,1780 ,111 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108840723/,1835 ,96 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/108836909/,1925 ,115 ,4 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/inmueble/103201663/,1940 ,131 ,3 
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/108436425/,1538 ,50 ,1 
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/108436415/,1733 ,63 ,2 
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/108436424/,1838 ,70 ,2 
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/108436315/,2258 ,97 ,3 
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/106859835/,893 ,Bajo,45 m²
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/106853335/,945 ,Bajo,46 m²
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/inmueble/108436272/,997 ,Bajo,56 m²
"Port, Badalona",https://www.idealista.com/obra-nueva/107915625/inmueble/107920021/,1625 ,68 ,2 
"Port, Badalona",https://www.idealista.com/obra-nueva/107915625/inmueble/107920124/,1835 ,88 ,3 
"Port, Badalona",https://www.idealista.com/obra-nueva/107915625/inmueble/107920160/,2385 ,147 ,3 
"Port, Badalona",https://www.idealista.com/obra-nueva/107915625/inmueble/107920177/,3365 ,158 ,4 
"Port, Badalona",https://www.idealista.com/obra-nueva/107915625/inmueble/108389433/,852 ,N/A,N/A
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108555374/,1650 ,91 ,2 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108555368/,1650 ,91 ,2 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108555310/,1750 ,90 ,3 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108555428/,1750 ,83 ,3 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108555823/,1850 ,95 ,3 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108721591/,1850 ,95 ,3 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108555739/,1950 ,100 ,3 
Cabrera de Mar,https://www.idealista.com/obra-nueva/108539879/inmueble/108721592/,1950 ,100 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828172/,1735 ,76 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828359/,1825 ,76 ,2 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828358/,1867 ,92 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828367/,1890 ,95 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828376/,1955 ,93 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828362/,2005 ,93 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828340/,2015 ,114 ,4 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828368/,2098 ,115 ,4 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/106828360/,2160 ,108 ,4 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/106826002/inmueble/108389382/,4100 ,N/A,N/A
